origin,desc_1,desc_3,roast,agtron
"Yirgacheffe growing region, southern Ethiopia","Fruit-toned, delicately floral. Magnolia, plum, almond, cedar, cane sugar in aroma and cup. Crisply sweet structure with brisk acidity; silky mouthfeel. Wood-framed finish with undertones of almond and cane sugar."," A friendly, gently fruit- and floral-driven washed Ethiopia cup.Explore Similar CoffeesClick here for more reviews from 1980 CAFEClick here for more information about coffees from Ethiopia ",Medium-Light,60/76
"Guji Zone, Oromia Region, southern Ethiopia","Gently sweet-tart. Pomegranate, orange zest, agave syrup, fir, lily in aroma and cup. Tart structure with brisk acidity; velvety mouthfeel. Gently drying, wood-framed finish.",A quietly inviting natural-processed Ethiopia cup with tart fruit and distinct aromatic wood notes.Explore Similar CoffeesClick here for more reviews from 1980 CAFEClick here for more information about coffees from Ethiopia ,Medium-Light,58/76
Guatemala; Costa Rica,"Evaluated as espresso. Sweet, richly nut-toned. Almond brittle, freesia, dried apple, cedar, lemon zest in aroma and small cup. Crisp, satiny mouthfeel; gently drying, wood-framed finish. In three parts milk, nut tones are amplified, supported by a hint of freesia-like flowers.","A deeply sweet, nutty espresso blend redolent of almond brittle supported, both in the straight shot and in milk, by spicy floral notes.Explore Similar CoffeesClick here for more reviews from Kasasagi Coffee Roasters ",Medium-Light,56/72
Ethiopia; Panama; Guatemala; El Salvador ,"Evaluated as espresso. Richly sweet-tart. Bing cherry, dark chocolate, fir, almond, gardenia in aroma and small cup. Crisp, velvety mouthfeel; chocolaty, wood-toned finish. Notes of dark chocolate and gardenia lead in cappuccino-scaled milk.","A friendly, accessible espresso blend with tart fruit and dark chocolate notes. Especially attractive in cappuccino format.Explore Similar CoffeesClick here for more reviews from Kasasagi Coffee Roasters ",Medium-Light,54/77
"Pacaybamba growing region, Peru","Complex, multi-layered, richly aromatic. Blood orange, wisteria, black sage, dried apricot, caramelized walnut in aroma and cup. Sweetly bright structure with vibrant, balanced acidity; lively, silky-smooth mouthfeel. The resonant finish centers around notes of dried apricot and black sage.","A high-toned, spice-driven, very floral Peru Gesha cup. A good value for this impressive, rare, usually expensive coffee variety. Explore Similar CoffeesClick here for more reviews from SkyTop CoffeeClick here for more information about coffees from PeruVisit SkyTop Coffee ",Medium-Light,60/77
"San Lorenzo, Saraguro, Loja, Ecuador","Aromatically exhilarating, deeply sweet-savory. Concord grape, hop flowers, pineapple saltwater taffy, cashew brittle, black sage in aroma and cup. Savory-leaning structure with winey acidity; full, syrupy mouthfeel. Crisp, bittersweet finish.","An integrated, sensorially diverse experimental Ecuador cup characterized by savory floral notes, unabashed fruit, and exciting aromatics.Explore Similar CoffeesClick here for more reviews from Taster's CoffeeClick here for more information about coffees from Ecuador ",Light,64/84
"Antioquia Department, Colombia","Gently sweet-tart, fruit-toned. Dried plum, cocoa nib, fresh-cut oak, lemon verbena, freesia-like flowers in aroma and cup. Delicately tart structure with brisk acidity; crisp, satiny mouthfeel. Cocoa and cedar notes lead the quiet finish.","An easygoing, approachable natural-processed Colombia cup with a sweetly tart cup profile complicated by hints of cocoa nib and spicy florals.Explore Similar CoffeesClick here for more reviews from Hub Coffee RoastersClick here for more information about coffees from Colombia ",Medium-Light,57/75
Colombia,"Crisply chocolaty, deeply sweet. Baking chocolate, cashew, caramel, fresh-cut fir, oregano in aroma and cup. Sweet-toned structure with gentle, round acidity; full, syrupy mouthfeel. Gently drying finish with notes of crisp chocolate and cashew.","A balanced, crisply sweet decaffeinated Colombia cup with an especially plush mouthfeel.Explore Similar CoffeesClick here for more reviews from Hub Coffee RoastersClick here for more information about coffees from Colombia ",Medium-Light,58/76
"Matagalpa, Nicaragua","Deeply fruity, richly chocolaty. Grape candy, chocolate fudge, magnolia, walnut butter, agave syrup in aroma and cup. Crisply sweet-taert structure with brisk acidity; plush, syrupy mouthfeel. Quietly fruit-toned, chocolaty finish.",A resonant Nicaragua natural cup with a throughline of grape candy and chocolate fudge.Explore Similar CoffeesClick here for more reviews from Peach Coffee RoastersClick here for more information about coffees from Nicaragua ,Medium-Light,58/76
"Huila Department, Colombia","Spice-toned, balanced, crisply sweet. Baking spices, caramel, lily, almond, orange zest in aroma and cup. Crisp, sweet structure with bright acidity; smooth, satiny mouthfeel. Almond notes lead in the finish, supported by caramel and orange zest.",A fine Colombia cup — sweet-toned with lively citrus and baking spice notes — by a collective that supports emerging farmers.Explore Similar CoffeesClick here for more reviews from Peach Coffee RoastersClick here for more information about coffees from Colombia ,Medium-Light,55/77
"Volcán growing region, Chiriquí Province, Panama","Nuanced, richly sweet, delicately tart. Pineapple, sage, cocoa nib, wild honey, lilac in aroma and cup. Balanced, bright structure with lively, phosphoric acidity; viscous, silky mouthfeel. The finish is long, harmoniously integrated, flavor-laden.","An inviting, harmoniously complex, multi-layered natural Geisha cup with particularly deep, vibrant aromatics. Explore Similar CoffeesClick here for more reviews from Mute RoasterClick here for more information about coffees from Panama ",Light,62/80
"Giraldo, Antioquia, Colombia","Rich-toned, chocolaty, balanced. Dark chocolate, hazelnut butter, blackberry, yuzu, fresh-cut oak in aroma and cup. Deeply sweet structure with gentle, round acidity; plush, satiny-smooth mouthfeel. Particularly rich, complex finish, chocolaty and long.","A multi-layered washed Colombia cup with leading notes of dark chocolate and blackberry — intensely aromatic, balanced, deep.Explore Similar CoffeesClick here for more reviews from Oak & Bond Coffee CompanyClick here for more information about coffees from Colombia ",Medium-Light,54/74
"Arbegona, Sidama Region, Ethiopia","Evaluated as espresso. Sweetly tart, juicy, bright. Green apple, sandalwood, dark chocolate, almond brittle, pink grapefruit zest in aroma and small cup. Syrupy, viscous mouthfeel; crisply fruit-toned finish. Elegant and deep in three parts milk, with fruit, dark chocolate and aromatic wood in harmony.","This natural-processed, single-variety Ethiopia, roasted for espresso, offers a tart-leaning, juicy straight shot and a chocolaty and richly wood-framed cappuccino.Explore Similar CoffeesClick here for more reviews from Quartet KaffeClick here for more information about coffees from Ethiopia ",Medium-Light,58/77
"Nyeri growing region, south-central Kenya","Richly sweet, deeply savory. Lilac, black currant, lime zest, tamarind, cedar in aroma and cup. Balanced structure with lively acidity; plush, syrupy-smooth mouthfeel. The finish leads with lilac and black currant in the short; lime zest and cedar carry the long.","A juicy Kenya cup with deep fruit and florals, supported by a confident sweet-savory structure.Explore Similar CoffeesClick here for more reviews from Atom Coffee RoastersClick here for more information about coffees from Kenya ",Medium-Light,57/78
"San Augustín, Huila Department, Colombia","Sweetly tart, high-toned. Black cherry, amber, lemon verbena, hint of wine barrel, cocoa nib in aroma and cup. Juicy-bright structure with vibrant acidity; velvety-smooth mouthfeel. Fruit-toned, sweetly and gently fermenty finish.","A multi-layered, deeply complex yeast-fermented Ethiopia Wush Wush cup with deep fruit, crisp cocoa, and a subtle sweet ferment redolent of wine barrel.Explore Similar CoffeesClick here for more reviews from SÖT Coffee RoasterClick here for more information about coffees from ColombiaVisit SÖT Coffee Roaster ",Light,75/93
"Nyamasheke District, Western Province, Rwanda","Very chocolaty, rich-toned. Dark chocolate, black cherry, amber, pink grapefruit zest, magnolia in aroma and cup. Crisply bright structure with vibrant acidity; velvety-smooth mouthfeel. The chocolaty finish is pleasingly complicated by notes of black cherry.","A confident, complex Rwanda cup with rich fruit, deep chocolate, and spicy floral notes.Explore Similar CoffeesClick here for more reviews from Nostalgia Coffee RoastersClick here for more information about coffees from RwandaVisit Nostalgia Coffee Roasters ",Medium-Light,58/80
"Huehuetenango, Guatemala","Crisply chocolaty, nut-toned. Baking chocolate, pink grapefruit zest, hazelnut brittle, thyme, agave syrup in aroma and cup. Bittersweet structure with brisk acidity; smooth, satiny mouthfeel. Quiet, nut-driven finish with hints of baking chocolate.","A balanced, inviting women-farmed Guatemala cup.Explore Similar CoffeesClick here for more reviews from Yellow Brick CoffeeClick here for more information about coffees from Guatemala ",Medium-Light,58/77
"Alajuela, Costa Rica","Bright, richly sweet-tart, fruit-toned. Pomegranate, dark chocolate, lilac, almond, amber in aroma and small cup. Bright structure with juicy, vibrant acidity; plush, creamy mouthfeel. Sweetly tart finish with leading notes of pomegranate and almond. Crisply chocolaty, floral finish.","A lively, juicy-bright natural-processed Costa Rica cup with inviting fruit and floral notes throughout.",Medium-Light,60/77
"Nyeri growing region, south-central Kenya","Crisply sweet-savory. Date, magnolia, tamarind, cedar, brown sugar in aroma and cup. Richly bittersweet structure with lively acidity; crisp, velvety mouthfeel. Sweetly tart finish leads with tamarind notes, supported by suggestions of rich cedar."," A savory, richly Kenya cup with appealing floral notes and a bright sweetness supported by deep aromatic wood impulses.",Medium-Light,59/76
"Marcala, Honduras","A balanced honey-processed cup that leads with stone fruit and vanilla-like floral notes — sweet, tart, and especially aromatic.","Delicately sweet-tart, deeply aromatic. Baking chocolate, apricot, grapefruit zest, hazelnut butter, rhododendron in aroma and cup. Sweet-tart structure with brisk acidity; full, satiny mouthfeel. The nut-toned finish is lifted by rhododendron-like florals.",Medium-Light,58/74
"Nyamasheke District, Rwanda","Delicately fruit-forward, crisply chocolaty. Date, baking chocolate, hazelnut, tangerine zest, cane sugar in aroma and cup. Sweet-toned structure with gentle, round acidity, plush, syrupy-smooth mouthfeel. Understated, balance, nut- and chocolate-toned finish. ","A friendly, easygoing Rwanda cup, cleanly natural processed, with deep fruit, floral, and nut tones.",Medium-Light,58/76
"Sidama growing region, southern Ethiopia","Fruit-toned, deeply floral. Raspberry, wisteria, honey, pink peppercorn, dark chocolate in aroma and cup. Sweetly tart structure with crisp, juicy acidity; full, satiny-smooth mouthfeel. The finish is driven by notes of raspberry and dark chocolate.","A fruit and flower medley, this honey-processed Ethiopia cup is berry-toned with a richly floral throughline and supporting notes of dark chocolate. ",Medium-Light,59/77
"Sharqi, Haraaz, Yemen","Lyrically sweet, stunningly deep, engagingly complex. Dried black cherry, black sage, wild honey sandalwood, honeysuckle in aroma and cup. Juicy-bright structure with malic (green-apple-like) acidity; luscious, satiny mouthfeel. Integrated, multi-layered, flavor-saturated finish.","A gorgeous stunner of a classic Yemen cup: fruit-laden, floral and sweetly herbaceous — a heady coffee, both aromatically and on the palate.",Medium-Light,58/76
